config_id,config_hash,checkpoint_hash,random_seed,MAX_NODES,MAX_HEIGHT,init_pop_method,max_iterations,pop_size,tourn_size,cxpb,mutpb,constants_range_json,ELITE_SIZE,LOG_METRICS_EVERY,hof_size,best_train_r2,best_test_r2,best_train_huber_loss,best_train_adj_r2,best_test_adj_r2,best_train_smape,best_test_smape,best_train_mae,best_test_mae,best_num_nodes,best_height,best_expression,hof_csv,population_csv,checkpoint_path,reached_target,stop_reason
beam_grid_0125,ca4055b6b6,c243663d4d,42,400,30,oblesa,100,2500,150,0.7,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0125_ca4055b6b6_hall_of_fame.csv,results/exp_perf_beam_grid_search_0125_ca4055b6b6_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_c243663d4d.pkl,False,max_iterations
beam_grid_0127,46c247a678,c66337d764,42,400,30,oblesa,100,2500,150,0.65,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0127_46c247a678_hall_of_fame.csv,results/exp_perf_beam_grid_search_0127_46c247a678_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_c66337d764.pkl,False,max_iterations
beam_grid_0129,5dc950ba56,48afda4dbc,42,400,30,oblesa,100,2000,60,0.65,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0129_5dc950ba56_hall_of_fame.csv,results/exp_perf_beam_grid_search_0129_5dc950ba56_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_48afda4dbc.pkl,False,max_iterations
beam_grid_0131,dfd72cc6aa,eaad357ce9,42,400,30,oblesa,100,2000,80,0.55,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0131_dfd72cc6aa_hall_of_fame.csv,results/exp_perf_beam_grid_search_0131_dfd72cc6aa_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_eaad357ce9.pkl,False,max_iterations
beam_grid_0133,78756a13e7,d241001202,42,400,30,oblesa,100,2000,80,0.6,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0133_78756a13e7_hall_of_fame.csv,results/exp_perf_beam_grid_search_0133_78756a13e7_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_d241001202.pkl,False,max_iterations
beam_grid_0137,ad854d350f,ce7a93f83a,42,400,30,oblesa,100,2000,80,0.65,0.45,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0137_ad854d350f_hall_of_fame.csv,results/exp_perf_beam_grid_search_0137_ad854d350f_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_ce7a93f83a.pkl,False,max_iterations
beam_grid_0141,e004db1a00,610dfd4162,42,400,30,oblesa,100,2000,80,0.7,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0141_e004db1a00_hall_of_fame.csv,results/exp_perf_beam_grid_search_0141_e004db1a00_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_610dfd4162.pkl,False,max_iterations
beam_grid_0142,11114ec3e8,d444720f6e,42,400,30,oblesa,100,2000,100,0.55,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0142_11114ec3e8_hall_of_fame.csv,results/exp_perf_beam_grid_search_0142_11114ec3e8_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_d444720f6e.pkl,False,max_iterations
beam_grid_0145,619d16e83b,b69f3cb5e3,42,400,30,oblesa,100,2000,100,0.6,0.45,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0145_619d16e83b_hall_of_fame.csv,results/exp_perf_beam_grid_search_0145_619d16e83b_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_b69f3cb5e3.pkl,False,max_iterations
beam_grid_0147,09a1a8dc08,ea6119bb9d,42,400,30,oblesa,100,2000,100,0.6,0.55,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0147_09a1a8dc08_hall_of_fame.csv,results/exp_perf_beam_grid_search_0147_09a1a8dc08_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_ea6119bb9d.pkl,False,max_iterations
